=== Suite started at 2016-07-26 09:36:11
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-70b43588-3424-linux-10
=hosts         testing-worker-linux-docker-70b43588-3424-linux-10 
=emulator_vsn  7.0
=emulator      beam
=otp_release   18
=started       2016-07-26 09:36:11
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       9.77e-4
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       0.002077
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       0.0004
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       0.0006
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       2.99e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       6.6e-5
=group_time    0.145s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.3.html
=group_props   [{name,four_stops}]
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       3.4e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       9.34e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.2.html
=group_props   [{name,four_stops}]
=started       2016-07-26 09:36:12
=ended         2016-07-26 09:36:12
=result        ok
=elapsed       1.26e-4
=group_time    0.055s
