=== Suite started at 2016-07-31 18:50:38
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-3ef970c6-3429-linux-5
=hosts         testing-worker-linux-docker-3ef970c6-3429-linux-5 
=emulator_vsn  7.1
=emulator      beam
=otp_release   18
=started       2016-07-31 18:50:38
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       8.56e-4
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       1.87e-4
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       6.4e-5
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       6.9e-5
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       5.5e-5
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       9.4e-5
=group_time    0.129s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.3.html
=group_props   [{name,four_stops}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       3.2e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       7.3e-5
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.67.html
=group_props   [{name,four_stops}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       4.6e-5
=group_time    0.050s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.131.html
=group_props   [{name,five_stops}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       3.4e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       2.03e-4
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       3.87e-4
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       0.0001
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.2.html
=group_props   [{name,five_stops}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       1.11e-4
=group_time    0.105s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.66.html
=group_props   [{name,nine_stops}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       9.5e-5
=case          line_SUITE:get_intersection_case
=logfile       line_suite.get_intersection_case.html
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
=elapsed       4.63e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.130.html
=group_props   [{name,nine_stops}]
=started       2016-07-31 18:50:38
=ended         2016-07-31 18:50:38
=result        ok
