=== Suite started at 2016-08-03 07:50:37
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-907cf768-3543-linux-3
=hosts         testing-worker-linux-docker-907cf768-3543-linux-3 
=emulator_vsn  7.1
=emulator      beam
=otp_release   18
=started       2016-08-03 07:50:37
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       0.001294
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       1.95e-4
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       1.57e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       1.06e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       8.4e-5
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       1.97e-4
=group_time    0.140s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.2.html
=group_props   [{name,four_stops}]
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       4.7e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       1.21e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.66.html
=group_props   [{name,four_stops}]
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       1.35e-4
=group_time    0.056s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.130.html
=group_props   [{name,five_stops}]
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       1.68e-4
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       1.86e-4
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:37
=result        ok
=elapsed       4.15e-4
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-08-03 07:50:37
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.78e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.194.html
=group_props   [{name,five_stops}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.89e-4
=group_time    0.126s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.258.html
=group_props   [{name,nine_stops}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       2.14e-4
=case          line_SUITE:get_intersection_case
=logfile       line_suite.get_intersection_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       9.77e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.3.html
=group_props   [{name,nine_stops}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       9.8e-5
=group_time    0.066s
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.0e-6
=group_time    0.551s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.67.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.0e-6
=case          public_transport_SUITE:test1
=logfile       public_transport_suite.test1.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        failed: {'EXIT',
                        {shutdown,
                         {failed_to_start_child,public_transport,
                          {{badmatch,{error,enoent}},
                           [{public_transport,init,1,
                             [{file,
                               "src/client/public_transport/public_transport.erl"},
                              {line,37}]},
                            {gen_server,init_it,6,
                             [{file,"gen_server.erl"},{line,328}]},
                            {proc_lib,init_p_do_apply,3,
                             [{file,"proc_lib.erl"},{line,240}]}]}}}}, unknown_location
=== *** FAILED test case 10 of 23 ***
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.322.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.0e-6
=group_time    0.082s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.386.html
=group_props   [{suite,stop_SUITE}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.0e-6
=case          stop_SUITE:passenger_check_in_case
=logfile       stop_suite.passenger_check_in_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       5.8e-5
=case          stop_SUITE:passenger_check_out_case
=logfile       stop_suite.passenger_check_out_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       0.001343
=case          stop_SUITE:vehicle_check_in_case
=logfile       stop_suite.vehicle_check_in_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.3e-4
=case          stop_SUITE:vehicle_check_out_case
=logfile       stop_suite.vehicle_check_out_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       2.46e-4
=case          stop_SUITE:invalid_vehicle_check_out_case
=logfile       stop_suite.invalid_vehicle_check_out_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       5.0e-5
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.131.html
=group_props   [{suite,stop_SUITE}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.0e-6
=group_time    0.207s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.195.html
=group_props   [{suite,vehicle_SUITE}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.0e-6
=case          vehicle_SUITE:checkin_ok_case
=logfile       vehicle_suite.checkin_ok_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       9.5e-5
=case          vehicle_SUITE:boarding_passenger_capacity_reached_case
=logfile       vehicle_suite.boarding_passenger_capacity_reached_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.25e-4
=case          vehicle_SUITE:boarding_passenger_below_capacity_case
=logfile       vehicle_suite.boarding_passenger_below_capacity_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.11e-4
=case          vehicle_SUITE:next_stop_reached_case
=logfile       vehicle_suite.next_stop_reached_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       2.46e-4
=case          vehicle_SUITE:next_stop_not_reached_case
=logfile       vehicle_suite.next_stop_not_reached_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.29e-4
=case          vehicle_SUITE:target_stop_reached_case
=logfile       vehicle_suite.target_stop_reached_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.81e-4
=case          vehicle_SUITE:increment_boarding_passenger_case
=logfile       vehicle_suite.increment_boarding_passenger_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.5e-4
=case          vehicle_SUITE:new_time_not_driving_case
=logfile       vehicle_suite.new_time_not_driving_case.html
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       9.7e-5
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.259.html
=group_props   [{suite,vehicle_SUITE}]
=started       2016-08-03 07:50:38
=ended         2016-08-03 07:50:38
=result        ok
=elapsed       1.0e-6
=group_time    0.311s
=== TEST COMPLETE, 22 ok, 1 failed of 23 test cases

=finished      2016-08-03 07:50:38
=failed        1
=successful    22
=user_skipped  0
=auto_skipped  0
