=== Suite started at 2016-08-01 06:35:57
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-b3071d35-3431-linux-11
=hosts         testing-worker-linux-docker-b3071d35-3431-linux-11 
=emulator_vsn  7.1
=emulator      beam
=otp_release   18
=started       2016-08-01 06:35:57
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       1.0e-6
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       0.001505
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       1.73e-4
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       1.18e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       1.21e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       0.0001
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       6.4e-5
=group_time    0.143s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.3.html
=group_props   [{name,four_stops}]
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       5.4e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       1.55e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.67.html
=group_props   [{name,four_stops}]
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       8.4e-5
=group_time    0.055s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.131.html
=group_props   [{name,five_stops}]
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       5.9e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       2.01e-4
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       3.61e-4
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-08-01 06:35:57
=ended         2016-08-01 06:35:57
=result        ok
=elapsed       1.01e-4
