=== Suite started at 2016-07-28 19:33:59
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-3540cdcd-3426-linux-7
=hosts         testing-worker-linux-docker-3540cdcd-3426-linux-7 
=emulator_vsn  7.1
=emulator      beam
=otp_release   18
=started       2016-07-28 19:33:59
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-28 19:33:59
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       0.001142
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       0.00218
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       4.61e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       9.68e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       3.8e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       5.2e-5
=group_time    0.167s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.2.html
=group_props   [{name,four_stops}]
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       6.2e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       0.0011
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.66.html
=group_props   [{name,four_stops}]
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       1.39e-4
=group_time    0.072s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.130.html
=group_props   [{name,five_stops}]
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       5.1e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       9.02e-4
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       0.015376
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       0.003043
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.3.html
=group_props   [{name,five_stops}]
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       2.15e-4
=group_time    0.232s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.67.html
=group_props   [{name,nine_stops}]
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       9.0e-5
=case          line_SUITE:get_intersection_case
=logfile       line_suite.get_intersection_case.html
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
=elapsed       0.012104
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.194.html
=group_props   [{name,nine_stops}]
=started       2016-07-28 19:34:00
=ended         2016-07-28 19:34:00
=result        ok
