=== Suite started at 2016-07-30 21:22:26
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-1ce5f99a-3431-linux-6
=hosts         testing-worker-linux-docker-1ce5f99a-3431-linux-6 
=emulator_vsn  7.2.1
=emulator      beam
=otp_release   18
=started       2016-07-30 21:22:26
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-30 21:22:26
=ended         2016-07-30 21:22:26
=result        ok
=elapsed       1.0e-6
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-30 21:22:26
=ended         2016-07-30 21:22:26
=result        ok
=elapsed       0.001409
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-30 21:22:26
=ended         2016-07-30 21:22:26
=result        ok
=elapsed       0.003316
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-30 21:22:26
=ended         2016-07-30 21:22:26
=result        ok
=elapsed       9.73e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-30 21:22:26
=ended         2016-07-30 21:22:26
=result        ok
=elapsed       9.95e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-30 21:22:26
=ended         2016-07-30 21:22:26
=result        ok
=elapsed       3.11e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-30 21:22:26
=ended         2016-07-30 21:22:26
=result        ok
=elapsed       7.0e-5
=group_time    0.213s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.3.html
=group_props   [{name,four_stops}]
=started       2016-07-30 21:22:26
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       4.9e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       0.001176
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.67.html
=group_props   [{name,four_stops}]
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       8.0e-5
=group_time    0.078s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.131.html
=group_props   [{name,five_stops}]
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       6.0e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       0.001681
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       0.031793
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       0.002888
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.195.html
=group_props   [{name,five_stops}]
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       1.03e-4
=group_time    0.256s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.259.html
=group_props   [{name,nine_stops}]
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       1.02e-4
=case          line_SUITE:get_intersection_case
=logfile       line_suite.get_intersection_case.html
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       0.017699
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.2.html
=group_props   [{name,nine_stops}]
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       9.9e-5
=group_time    0.211s
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       0.0
=group_time    0.915s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.66.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-07-30 21:22:27
=ended         2016-07-30 21:22:27
=result        ok
=elapsed       1.0e-6
=case          public_transport_SUITE:test1
=logfile       public_transport_suite.test1.html
=started       2016-07-30 21:22:27
=== WARNING: end_per_testcase crashed!
Reason: {timeout,{gen_server,call,[{global,logger},stop]}}
Line: [{gen_server,call,204},
              {public_transport_SUITE,end_per_testcase,<a href="public_transport_suite.src.html#23">23</a>},
              {test_server,do_end_per_testcase,1257},
              {test_server,run_test_case_eval1,1012},
              {test_server,run_test_case_eval,926}]

=ended         2016-07-30 21:22:37
=result        failed: {timeout,
                           {gen_server,call,
                               [{global,public_transport},{get_route,a,o}]}}, [{gen_server,
                                                                                call,
                                                                                204},
                                                                               {public_transport,
                                                                                get_route,
                                                                                27},
                                                                               {test_server,
                                                                                ts_tc,
                                                                                1408},
                                                                               {test_server,
                                                                                run_test_case_eval1,
                                                                                984},
                                                                               {test_server,
                                                                                run_test_case_eval,
                                                                                926}]
=== *** FAILED test case 10 of 23 ***
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.130.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-07-30 21:22:37
=ended         2016-07-30 21:22:37
=result        ok
=elapsed       1.0e-6
=group_time    10.117s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.323.html
=group_props   [{suite,stop_SUITE}]
=started       2016-07-30 21:22:37
=ended         2016-07-30 21:22:37
=result        ok
=elapsed       1.0e-6
=case          stop_SUITE:passenger_check_in_case
=logfile       stop_suite.passenger_check_in_case.html
=started       2016-07-30 21:22:37
=ended         2016-07-30 21:22:37
=result        ok
=elapsed       0.001009
=case          stop_SUITE:passenger_check_out_case
=logfile       stop_suite.passenger_check_out_case.html
=started       2016-07-30 21:22:37
=ended         2016-07-30 21:22:37
=result        ok
=elapsed       0.004265
=case          stop_SUITE:vehicle_check_in_case
=logfile       stop_suite.vehicle_check_in_case.html
=started       2016-07-30 21:22:37
=ended         2016-07-30 21:22:37
=result        ok
=elapsed       0.002586
=case          stop_SUITE:vehicle_check_out_case
=logfile       stop_suite.vehicle_check_out_case.html
=started       2016-07-30 21:22:37
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       0.002866
=case          stop_SUITE:invalid_vehicle_check_out_case
=logfile       stop_suite.invalid_vehicle_check_out_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       4.68e-4
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.194.html
=group_props   [{suite,stop_SUITE}]
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       1.0e-6
=group_time    0.261s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.258.html
=group_props   [{suite,vehicle_SUITE}]
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       1.0e-6
=case          vehicle_SUITE:checkin_ok_case
=logfile       vehicle_suite.checkin_ok_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       8.1e-4
=case          vehicle_SUITE:boarding_passenger_capacity_reached_case
=logfile       vehicle_suite.boarding_passenger_capacity_reached_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       0.001687
=case          vehicle_SUITE:boarding_passenger_below_capacity_case
=logfile       vehicle_suite.boarding_passenger_below_capacity_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       0.001383
=case          vehicle_SUITE:next_stop_reached_case
=logfile       vehicle_suite.next_stop_reached_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       0.002171
=case          vehicle_SUITE:next_stop_not_reached_case
=logfile       vehicle_suite.next_stop_not_reached_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       0.001877
=case          vehicle_SUITE:target_stop_reached_case
=logfile       vehicle_suite.target_stop_reached_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       0.002397
=case          vehicle_SUITE:increment_boarding_passenger_case
=logfile       vehicle_suite.increment_boarding_passenger_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       0.001719
=case          vehicle_SUITE:new_time_not_driving_case
=logfile       vehicle_suite.new_time_not_driving_case.html
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       9.46e-4
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.322.html
=group_props   [{suite,vehicle_SUITE}]
=started       2016-07-30 21:22:38
=ended         2016-07-30 21:22:38
=result        ok
=elapsed       0.0
=group_time    0.442s
=== TEST COMPLETE, 22 ok, 1 failed of 23 test cases

=finished      2016-07-30 21:22:38
=failed        1
=successful    22
=user_skipped  0
=auto_skipped  0
