=== Suite started at 2016-07-28 20:03:57
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-5ba02da3-3451-linux-10
=hosts         testing-worker-linux-docker-5ba02da3-3451-linux-10 
=emulator_vsn  7.2.1
=emulator      beam
=otp_release   18
=started       2016-07-28 20:03:57
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-28 20:03:57
=ended         2016-07-28 20:03:57
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-28 20:03:57
=ended         2016-07-28 20:03:57
=result        ok
=elapsed       0.001137
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-28 20:03:57
=ended         2016-07-28 20:03:57
=result        ok
=elapsed       0.001671
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-28 20:03:57
=ended         2016-07-28 20:03:57
=result        ok
=elapsed       7.72e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-28 20:03:57
=ended         2016-07-28 20:03:57
=result        ok
=elapsed       8.78e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-28 20:03:57
=ended         2016-07-28 20:03:58
=result        ok
=elapsed       3.64e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-28 20:03:58
=ended         2016-07-28 20:03:58
=result        ok
=elapsed       3.9e-5
=group_time    0.175s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.2.html
=group_props   [{name,four_stops}]
=started       2016-07-28 20:03:58
=ended         2016-07-28 20:03:58
=result        ok
=elapsed       3.8e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-28 20:03:58
=ended         2016-07-28 20:03:58
=result        ok
=elapsed       8.56e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.66.html
=group_props   [{name,four_stops}]
=started       2016-07-28 20:03:58
