=== Suite started at 2016-08-03 07:48:30
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-e7be577e-3443-linux-9
=hosts         testing-worker-linux-docker-e7be577e-3443-linux-9 
=emulator_vsn  7.2.1
=emulator      beam
=otp_release   18
=started       2016-08-03 07:48:30
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       0.016752
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       1.04e-4
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       6.1e-5
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       6.9e-5
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       8.0e-5
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       8.4e-5
=group_time    0.144s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.2.html
=group_props   [{name,four_stops}]
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       3.1e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       1.24e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.3.html
=group_props   [{name,four_stops}]
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       1.04e-4
=group_time    0.065s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.67.html
=group_props   [{name,five_stops}]
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       5.2e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       1.62e-4
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-08-03 07:48:31
=ended         2016-08-03 07:48:31
=result        ok
=elapsed       3.19e-4
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
