=== Suite started at 2016-07-27 09:30:58
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-3d5cdcc5-3427-linux-10
=hosts         testing-worker-linux-docker-3d5cdcc5-3427-linux-10 
=emulator_vsn  7.2
=emulator      beam
=otp_release   18
=started       2016-07-27 09:30:58
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       0.001048
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       0.001811
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       7.82e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       7.3e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       4.99e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       7.1e-5
=group_time    0.156s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.2.html
=group_props   [{name,four_stops}]
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       5.9e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:58
=result        ok
=elapsed       0.001192
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.66.html
=group_props   [{name,four_stops}]
=started       2016-07-27 09:30:58
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       9.3e-5
=group_time    0.064s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.130.html
=group_props   [{name,five_stops}]
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       7.3e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       0.001637
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       0.016609
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       0.00327
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.194.html
=group_props   [{name,five_stops}]
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       5.8e-5
=group_time    0.199s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.258.html
=group_props   [{name,nine_stops}]
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       6.1e-5
=case          line_SUITE:get_intersection_case
=logfile       line_suite.get_intersection_case.html
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       0.008288
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.322.html
=group_props   [{name,nine_stops}]
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       8.6e-5
=group_time    0.120s
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       0.0
=group_time    0.679s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.386.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-07-27 09:30:59
=ended         2016-07-27 09:30:59
=result        ok
=elapsed       0.0
=case          public_transport_SUITE:test1
=logfile       public_transport_suite.test1.html
=started       2016-07-27 09:30:59
=== WARNING: end_per_testcase crashed!
Reason: {timeout,{gen_server,call,[{global,logger},stop]}}
Line: [{gen_server,call,204},
              {public_transport_SUITE,end_per_testcase,<a href="public_transport_suite.src.html#21">21</a>},
              {test_server,do_end_per_testcase,1257},
              {test_server,run_test_case_eval1,1012},
              {test_server,run_test_case_eval,926}]

=ended         2016-07-27 09:31:09
=result        failed: {timeout,
                           {gen_server,call,
                               [{global,public_transport},{get_route,a,o}]}}, [{gen_server,
                                                                                call,
                                                                                204},
                                                                               {public_transport,
                                                                                get_route,
                                                                                25},
                                                                               {test_server,
                                                                                ts_tc,
                                                                                1408},
                                                                               {test_server,
                                                                                run_test_case_eval1,
                                                                                984},
                                                                               {test_server,
                                                                                run_test_case_eval,
                                                                                926}]
=== *** FAILED test case 10 of 23 ***
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.450.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       2.0e-6
=group_time    10.073s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.514.html
=group_props   [{suite,stop_SUITE}]
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.0
=case          stop_SUITE:passenger_check_in_case
=logfile       stop_suite.passenger_check_in_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       6.77e-4
=case          stop_SUITE:passenger_check_out_case
=logfile       stop_suite.passenger_check_out_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.003687
=case          stop_SUITE:vehicle_check_in_case
=logfile       stop_suite.vehicle_check_in_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.001213
=case          stop_SUITE:vehicle_check_out_case
=logfile       stop_suite.vehicle_check_out_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.002813
=case          stop_SUITE:invalid_vehicle_check_out_case
=logfile       stop_suite.invalid_vehicle_check_out_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       4.46e-4
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.3.html
=group_props   [{suite,stop_SUITE}]
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.0
=group_time    0.247s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.67.html
=group_props   [{suite,vehicle_SUITE}]
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.0
=case          vehicle_SUITE:checkin_ok_case
=logfile       vehicle_suite.checkin_ok_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       6.07e-4
=case          vehicle_SUITE:boarding_passenger_capacity_reached_case
=logfile       vehicle_suite.boarding_passenger_capacity_reached_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.001743
=case          vehicle_SUITE:boarding_passenger_below_capacity_case
=logfile       vehicle_suite.boarding_passenger_below_capacity_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.001015
=case          vehicle_SUITE:next_stop_reached_case
=logfile       vehicle_suite.next_stop_reached_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:09
=result        ok
=elapsed       0.001544
=case          vehicle_SUITE:next_stop_not_reached_case
=logfile       vehicle_suite.next_stop_not_reached_case.html
=started       2016-07-27 09:31:09
=ended         2016-07-27 09:31:10
=result        ok
=elapsed       0.001614
=case          vehicle_SUITE:target_stop_reached_case
=logfile       vehicle_suite.target_stop_reached_case.html
=started       2016-07-27 09:31:10
=ended         2016-07-27 09:31:10
=result        ok
=elapsed       0.001299
=case          vehicle_SUITE:increment_boarding_passenger_case
=logfile       vehicle_suite.increment_boarding_passenger_case.html
=started       2016-07-27 09:31:10
=ended         2016-07-27 09:31:10
=result        ok
=elapsed       0.001956
=case          vehicle_SUITE:new_time_not_driving_case
=logfile       vehicle_suite.new_time_not_driving_case.html
=started       2016-07-27 09:31:10
=ended         2016-07-27 09:31:10
=result        ok
=elapsed       5.32e-4
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.131.html
=group_props   [{suite,vehicle_SUITE}]
=started       2016-07-27 09:31:10
=ended         2016-07-27 09:31:10
=result        ok
=elapsed       0.0
=group_time    0.357s
=== TEST COMPLETE, 22 ok, 1 failed of 23 test cases

=finished      2016-07-27 09:31:10
=failed        1
=successful    22
=user_skipped  0
=auto_skipped  0
