=== Suite started at 2016-08-01 12:02:32
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-b826af40-3439-linux-5
=hosts         testing-worker-linux-docker-b826af40-3439-linux-5 
=emulator_vsn  7.2
=emulator      beam
=otp_release   18
=started       2016-08-01 12:02:32
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       1.0e-6
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       0.001176
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       1.16e-4
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       7.3e-5
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       7.5e-5
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       6.4e-5
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       4.8e-5
=group_time    0.145s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.3.html
=group_props   [{name,four_stops}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       4.3e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       7.6e-5
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.67.html
=group_props   [{name,four_stops}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       4.9e-5
=group_time    0.061s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.131.html
=group_props   [{name,five_stops}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       3.9e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       1.2e-4
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       2.15e-4
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       9.3e-5
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.195.html
=group_props   [{name,five_stops}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       1.11e-4
=group_time    0.103s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.259.html
=group_props   [{name,nine_stops}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       1.05e-4
=case          line_SUITE:get_intersection_case
=logfile       line_suite.get_intersection_case.html
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       4.75e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.323.html
=group_props   [{name,nine_stops}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       8.5e-5
=group_time    0.054s
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:32
=result        ok
=elapsed       0.0
=group_time    0.502s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.387.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-08-01 12:02:32
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       1.0e-6
=case          public_transport_SUITE:test1
=logfile       public_transport_suite.test1.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        failed: {'EXIT',
                        {shutdown,
                         {failed_to_start_child,public_transport,
                          {{badmatch,{error,enoent}},
                           [{public_transport,init,1,
                             [{file,
                               "src/client/public_transport/public_transport.erl"},
                              {line,37}]},
                            {gen_server,init_it,6,
                             [{file,"gen_server.erl"},{line,328}]},
                            {proc_lib,init_p_do_apply,3,
                             [{file,"proc_lib.erl"},{line,240}]}]}}}}, unknown_location
=== *** FAILED test case 10 of 23 ***
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.2.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       0.0
=group_time    0.062s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.66.html
=group_props   [{suite,stop_SUITE}]
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       1.0e-6
=case          stop_SUITE:passenger_check_in_case
=logfile       stop_suite.passenger_check_in_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       3.0e-5
=case          stop_SUITE:passenger_check_out_case
=logfile       stop_suite.passenger_check_out_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       8.66e-4
=case          stop_SUITE:vehicle_check_in_case
=logfile       stop_suite.vehicle_check_in_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       1.6e-4
=case          stop_SUITE:vehicle_check_out_case
=logfile       stop_suite.vehicle_check_out_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       1.36e-4
=case          stop_SUITE:invalid_vehicle_check_out_case
=logfile       stop_suite.invalid_vehicle_check_out_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       3.2e-5
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.451.html
=group_props   [{suite,stop_SUITE}]
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       0.0
=group_time    0.162s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.515.html
=group_props   [{suite,vehicle_SUITE}]
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       0.0
=case          vehicle_SUITE:checkin_ok_case
=logfile       vehicle_suite.checkin_ok_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       5.6e-5
=case          vehicle_SUITE:boarding_passenger_capacity_reached_case
=logfile       vehicle_suite.boarding_passenger_capacity_reached_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       1.45e-4
=case          vehicle_SUITE:boarding_passenger_below_capacity_case
=logfile       vehicle_suite.boarding_passenger_below_capacity_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       1.3e-4
=case          vehicle_SUITE:next_stop_reached_case
=logfile       vehicle_suite.next_stop_reached_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       1.15e-4
=case          vehicle_SUITE:next_stop_not_reached_case
=logfile       vehicle_suite.next_stop_not_reached_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       8.5e-5
=case          vehicle_SUITE:target_stop_reached_case
=logfile       vehicle_suite.target_stop_reached_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       1.29e-4
=case          vehicle_SUITE:increment_boarding_passenger_case
=logfile       vehicle_suite.increment_boarding_passenger_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       8.4e-5
=case          vehicle_SUITE:new_time_not_driving_case
=logfile       vehicle_suite.new_time_not_driving_case.html
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       5.9e-5
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.130.html
=group_props   [{suite,vehicle_SUITE}]
=started       2016-08-01 12:02:33
=ended         2016-08-01 12:02:33
=result        ok
=elapsed       0.0
=group_time    0.299s
=== TEST COMPLETE, 22 ok, 1 failed of 23 test cases

=finished      2016-08-01 12:02:33
=failed        1
=successful    22
=user_skipped  0
=auto_skipped  0
