=== Suite started at 2016-07-26 09:34:24
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-da1b215c-3441-linux-12
=hosts         testing-worker-linux-docker-da1b215c-3441-linux-12 
=emulator_vsn  7.3
=emulator      beam
=otp_release   18
=started       2016-07-26 09:34:24
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-26 09:34:24
=ended         2016-07-26 09:34:24
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-26 09:34:24
=ended         2016-07-26 09:34:24
=result        ok
=elapsed       8.77e-4
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-26 09:34:24
=ended         2016-07-26 09:34:24
=result        ok
=elapsed       0.001928
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-26 09:34:24
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       4.95e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       5.96e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       3.01e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       3.7e-5
=group_time    0.145s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.3.html
=group_props   [{name,four_stops}]
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       3.5e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       8.08e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.67.html
=group_props   [{name,four_stops}]
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       7.3e-5
=group_time    0.054s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.131.html
=group_props   [{name,five_stops}]
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       4.1e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       0.001286
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       0.016712
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       0.002724
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.2.html
=group_props   [{name,five_stops}]
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       9.5e-5
=group_time    0.172s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.66.html
=group_props   [{name,nine_stops}]
=started       2016-07-26 09:34:25
=ended         2016-07-26 09:34:25
=result        ok
=elapsed       6.3e-5
=case          line_SUITE:get_intersection_case
=logfile       line_suite.get_intersection_case.html
