=== Suite started at 2016-07-29 06:50:57
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-f41b960c-3474-linux-14
=hosts         testing-worker-linux-docker-f41b960c-3474-linux-14 
=emulator_vsn  7.3
=emulator      beam
=otp_release   18
=started       2016-07-29 06:50:57
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       0.0
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       0.001433
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       0.002315
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       6.77e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       8.84e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       4.47e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       5.7e-5
=group_time    0.166s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.3.html
=group_props   [{name,four_stops}]
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       4.6e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       0.001157
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.2.html
=group_props   [{name,four_stops}]
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       8.7e-5
=group_time    0.064s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.66.html
=group_props   [{name,five_stops}]
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       5.7e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       0.00182
=case          line_SUITE:get_duration_case
=logfile       line_suite.get_duration_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       0.0228
=case          line_SUITE:get_target_case
=logfile       line_suite.get_target_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       0.0022
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.67.html
=group_props   [{name,five_stops}]
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       1.09e-4
=group_time    0.179s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.131.html
=group_props   [{name,nine_stops}]
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:57
=result        ok
=elapsed       1.14e-4
=case          line_SUITE:get_intersection_case
=logfile       line_suite.get_intersection_case.html
=started       2016-07-29 06:50:57
=ended         2016-07-29 06:50:58
=result        ok
=elapsed       0.016461
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.130.html
=group_props   [{name,nine_stops}]
=started       2016-07-29 06:50:58
=ended         2016-07-29 06:50:58
=result        ok
=elapsed       6.7e-5
=group_time    0.167s
=case          ct_framework:end_per_suite
=logfile       ct_framework.end_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-29 06:50:58
=ended         2016-07-29 06:50:58
=result        ok
=elapsed       0.0
=group_time    0.721s
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.194.html
=group_props   [{suite,public_transport_SUITE}]
=started       2016-07-29 06:50:58
=ended         2016-07-29 06:50:58
=result        ok
=elapsed       0.0
=case          public_transport_SUITE:test1
=logfile       public_transport_suite.test1.html
=started       2016-07-29 06:50:58
=== WARNING: end_per_testcase crashed!
Reason: {timeout,{gen_server,call,[{global,logger},stop]}}
Line: [{gen_server,call,204},
       {public_transport_SUITE,end_per_testcase,21},
       {test_server,do_end_per_testcase,1377},
       {test_server,run_test_case_eval1,1093},
       {test_server,run_test_case_eval,985}]

=ended         2016-07-29 06:51:08
=result        failed: {timeout,
                           {gen_server,call,
                               [{global,public_transport},{get_route,a,o}]}}, [{gen_server,
                                                                                call,
                                                                                204},
                                                                               {public_transport,
                                                                                get_route,
                                                                                25},
                                                                               {test_server,
                                                                                ts_tc,
                                                                                1533},
                                                                               {test_server,
