=== Suite started at 2016-07-29 07:00:49
=== Starting test, 23 test cases
=cases         23
=user          travis
=host          testing-worker-linux-docker-fbede77d-3440-linux-15
=hosts         testing-worker-linux-docker-fbede77d-3440-linux-15 
=emulator_vsn  7.3
=emulator      beam
=otp_release   18
=started       2016-07-29 07:00:49
=case          ct_framework:init_per_suite
=logfile       ct_framework.init_per_suite.html
=group_props   [{suite,line_SUITE}]
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       1.0e-6
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       0.001482
=case          line_SUITE:get_next_stop_case
=logfile       line_suite.get_next_stop_case.html
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       0.00251
=case          line_SUITE:get_other_end_case
=logfile       line_suite.get_other_end_case.html
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       5.54e-4
=case          line_SUITE:is_end_stop_case
=logfile       line_suite.is_end_stop_case.html
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       6.48e-4
=case          line_SUITE:get_number_case
=logfile       line_suite.get_number_case.html
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       3.09e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.html
=group_props   [{name,three_stops}]
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       3.8e-5
=group_time    0.150s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.2.html
=group_props   [{name,four_stops}]
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       3.7e-5
=case          line_SUITE:contains_stop_case
=logfile       line_suite.contains_stop_case.html
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       6.38e-4
=case          line_SUITE:end_per_group
=logfile       line_suite.end_per_group.66.html
=group_props   [{name,four_stops}]
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       9.0e-5
=group_time    0.056s
=case          line_SUITE:init_per_group
=logfile       line_suite.init_per_group.130.html
=group_props   [{name,five_stops}]
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
=result        ok
=elapsed       4.2e-5
=case          line_SUITE:get_neighbors_case
=logfile       line_suite.get_neighbors_case.html
=started       2016-07-29 07:00:50
=ended         2016-07-29 07:00:50
